"name","lat","lng","address","detail_info"
"全家便利店(中春路二店)",31.147776,121.352183,"七宝镇中春路7228号第3幢1层","购物;便利店"
"喜士多",31.141472,121.367605,"上海市闵行区七莘路1855号丽婴房大楼第七幢B1楼106室","购物;便利店"
"全家便利店(七莘路二店)",31.155499,121.358826,"七莘路2827号(近富强街)","购物;便利店"
"快客便利店(no.5340)",31.139529,121.356084,"中春路6785号华贸商务101室","购物;便利店"
"快客便利店(no.6386)",31.150892,121.363786,"七莘路3599弄5号149室","购物;便利店"
"罗森便利店(万兆家园店)",31.155339,121.357456,"七莘路2855弄53号101-102室","购物;便利店"
"快客便利店(no.6800)",31.143111,121.364109,"华友路188号(华林路)","购物;便利店"
"快客便利店(no.5371)",31.146357,121.364522,"中谊路769号-2号(华友大厦西北)","购物;便利店"
"快客便利店(宝铭路)",31.145044,121.373874,"宝铭路82号","购物;便利店"
"易捷便利店(黎安新村西北)",31.135455,121.37311,"闵行区七莘路1338号(黎安新村西北)","购物;便利店"
"宜佳便利(华友路店)",31.143684,121.365635,"上海市闵行区华友路128号","购物;便利店"
"联华快客(敬老店)",31.1441,121.358279,"中谊路955号1号楼","购物;便利店"
"好德(联明店)",31.152171,121.355227,"闵行七莘路2465弄1号101","购物;便利店"
"快客便利店(no.5266)",31.149538,121.371071,"中谊路371号(新镇路)","购物;便利店"
"快客便利店(no.5447)",31.146646,121.352766,"中春路7198号A栋1层1号(联明雅苑东北)","购物;便利店"
"文君",31.155597,121.357566,"七莘路2855弄147号104(近罗森超市)","购物;便利店"
"三士便利店",31.140387,121.370228,"七莘路1664号闵行区基督教七宝耶稣堂附近","购物;便利店"
"海琪便利店",31.142756,121.366741,"七莘路1865号上海海琪汽车用品商城A裙-38","购物;便利店"
"快客便利店(no.5438)",31.152031,121.361146,"宝联路15号A-21室","购物;便利店"
"快客便利店(no.5096)",31.156241,121.363292,"宝南路518","购物;便利店"
"良友金伴(闵行七莘店)",31.15621,121.357545,"七莘路2855弄万兆家园73号73号6室","购物;便利店"
"快客便利店(no.6309)",31.154843,121.3699,"新镇路876弄62临","购物;便利店"
"爱家便利店",31.145925,121.361044,"七宝镇中谊路814号","购物;便利店"
"好好便利店",31.153337,121.358038,"联明路90号","购物;便利店"
"欢购便利店",31.14822,121.364033,"七莘路2299弄39号","购物;便利店"
"观音便利店",31.133834,121.374155,"七莘路黎安路673号","购物;便利店"
"伟伟便利店(普利路)",31.132108,121.371854,"普利路7号附近","购物;便利店"
"易购便利店",31.145277,121.353406,"上海市闵行区","购物;便利店"
"快客便利店(no.6223)",31.153994,121.371256,"农南路128","购物;便利店"
"七宝叠彩便利店",31.155712,121.357304,"七莘路2855弄28号105室","购物;便利店"
"顶优鱿海珍坊",31.155783,121.359364,"七宝老街(漕宝路吴宝路)","购物;便利店"
"莘闵食品经营部七宝分部",31.151635,121.363155,"七莘路2630-2632号","购物;便利店"
"顺发便利店(宝南路)",31.155372,121.361857,"宝南西路27号(近宝南路)","购物;便利店"
"徽韵便利店",31.147388,121.371284,"荣谊路134号","购物;便利店"
"斐斐便利店",31.152386,121.35557,"联明路226号","购物;便利店"
"馨馨百货便利店",31.147398,121.366515,"中谊路553号629号","购物;便利店"
"黎明便利店",31.153243,121.355106,"上海市闵行区","购物;便利店"
"七宝芳芳杂货店",31.148508,121.364144,"七莘路2299弄-30号-102","购物"
"七宝宝仪杂货店",31.155097,121.370442,"新镇路876弄84临","购物"
"联合一百超市",31.144973,121.362831,"七宝镇华林路252号","购物"
"进口商品直销店",31.15102,121.354006,"联明路与联盛路交叉口东南50米","购物"
"富强饮料店",31.155769,121.359429,"七宝镇富强街107号","购物"
"七宝建强日用百货经营部",31.153675,121.370565,"农南路164临","购物"
"全家便利店(七莘路店)",31.16188,121.354124,"闵行区七莘路3017号(近漕宝路)","购物;便利店"
"全家便利店(宝镇店)",31.160244,121.360529,"闵行区七宝镇青年路199-201号一楼(民主路青年路)","购物;便利店"
"罗森便利店(七宝店)",31.156428,121.358069,"七莘路2855弄万兆家园内","购物;便利店"
"全家便利店(航新路店)",31.176478,121.353942,"航新路160号(近航北路)","购物;便利店"
"全家便利店(沪松公路二店)",31.15876,121.351534,"沪松公路193号(近七莘路)","购物;便利店"
"良友(七宝店)",31.15859,121.357025,"青年路397","购物;便利店"
"好德便利(吴宝店)",31.164515,121.355972,"吴宝路141号","购物;便利店"
"可的便利店(青年店)",31.159053,121.357734,"上海市闵行区青年路373号(民主路青年路)","购物;便利店"
"中化道达尔-便利店",31.164233,121.36915,"漕宝路1999号","购物;便利店"
"好德便利(佳宝店)",31.161147,121.352165,"七莘路3035号七宝商城内(近漕宝路)","购物;便利店"
"好德便利店(七莘店)",31.1574,121.36048,"上海市闵行区七莘路2938弄34号","购物;便利店"
"易捷便利店(七宝店)",31.167453,121.354999,"吴宝路298号(近吴中路)","购物;便利店"
"快客便利店(七莘店)",31.165287,121.350987,"七莘路3333号万科城市花园3区2号101室","购物;便利店"
"小兔子音响店",31.160174,121.353035,"沪松公路70-1临","购物;便利店"
"君飞便民店",31.179242,121.371358,"紫藤路龙柏六村88号01号","购物;便利店"
"好德便利(青年店)",31.16171,121.364373,"上海市闵行区青年路3临","购物;便利店"
"七宝七莘商行",31.170551,121.352974,"新龙村观音堂33号附近","购物;便利店"
"全家便利店(紫藤路站店)",31.176064,121.371767,"轨道交通十号线紫藤路站-10-101号(近吴中路)","购物;便利店"
"快客便利店",31.161733,121.35782,"上海市闵行区民主路82号","购物;便利店"
"快客便利店(新龙店)",31.164117,121.355876,"新龙路605号","购物;便利店"
"全家便利店(航北店)",31.177537,121.357352,"航北路468号(航北路航中路)","购物;便利店"
"天虹百货店",31.163569,121.362646,"漕宝路3223号附近","购物;便利店"
"快客(no.006291)",31.163431,121.366119,"漕宝路3009～3011号","购物;便利店"
"好德便利店(航东店)",31.176964,121.363789,"航东路194-196号","购物;便利店"
"光明乳业(特价店)",31.180662,121.361374,"航东路417号","购物;便利店"
"迪亚天天(航东店)",31.181184,121.361047,"航华一村309-310号底层","购物;便利店"
"好德便利(富泰店)",31.177478,121.353697,"航新路369-398(航北路航新路)","购物;便利店"
"快客便利店(闵行区卫生局卫生监督所七宝分所东北)",31.157462,121.360012,"闵行区闵行区南街(闵行区卫生局卫生监督所七宝分所东北)","购物;便利店"
"良友金伴便利店",31.161205,121.363158,"上海市闵行区青年路83~85号","购物;便利店"
"罗森便利店",31.179905,121.362821,"航北路与航东路交叉口旁","购物;便利店"
"迪亚天天(航中店)",31.173361,121.361515,"闵行区航中路93号","购物;便利店"
"喜士多便利店(紫藤路店)",31.176465,121.371757,"虹桥镇紫藤路3号","购物;便利店"
"光明便利店",31.16792,121.353017,"七宝镇金球花园","购物;便利店"
"福彩便利店",31.158653,121.364293,"富强东街与富强街交叉口西","购物;便利店"
"好德便利店(七宝店)",31.15999,121.360346,"上海市闵行区青年路208号","购物;便利店"
"好德便利(航中店)",31.177558,121.357908,"航北路373-375号","购物;便利店"
"好德便利店(航新店)",31.176501,121.354521,"航北路698号(航北路航新路)","购物;便利店"
"兴隆杂货店(吴中路)",31.172715,121.363414,"吴中路","购物;便利店"
"良友金伴(闵行航新店)",31.180052,121.352954,"航新路600号","购物;便利店"
"好邻居便利店",31.168905,121.353276,"上海市闵行区吴宝路415号","购物;便利店"
"快客便利店(青年路)",31.160517,121.361297,"七宝镇青年路143号","购物;便利店"
"罗森(万科店)",31.165318,121.350957,"七莘路3333号万科城市花园3区2号楼101室","购物;便利店"
"天天便利",31.16195,121.353537,"七莘路3021号(七宝镇人民政府司法办公室北)","购物;便利店"
"快客便利店(no.6723)",31.163299,121.368811,"漕宝路3009-3011号","购物;便利店"
"好德(航北路店)",31.17864,121.36047,"航北路与航中路交叉口西(航北路航中路)","购物;便利店"
"上海市小虹烟杂店",31.180991,121.370664,"紫藤路288号-2室","购物;便利店"
"其银日用百货商店",31.163446,121.362314,"漕宝路3223号附近","购物;便利店"
"巧巧便利店",31.171149,121.357316,"航新路49号","购物;便利店"
"七宝伯兴粮油商店",31.158545,121.356913,"上海市闵行区青年路403-3临","购物;商铺"
"益家便利店",31.179541,121.371286,"紫藤路168弄7号","购物;便利店"
"好德便利店",31.180522,121.365095,"航北路40号(近鸿禧花园)","购物;便利店"
"好德便利(紫藤店)",31.180735,121.37074,"闵行区紫藤路278号（青杉路紫藤路）","购物;便利店"
"先慧便利店",31.17233,121.354925,"航南路634临","购物;便利店"
"快客便利店(no.5411)",31.179866,121.370945,"上海市闵行区紫藤路238号-118室","购物;便利店"
"新华杂货店(号上路)",31.172879,121.365027,"号上路3号附近","购物;便利店"
"光明便利(航南店)",31.175898,121.364416,"航南路177号(航东路航南路)","购物;便利店"
"七宝永兴便利店",31.160666,121.35275,"七宝商业街A-27号附近","购物;便利店"
"快客便利店(富强店)",31.160241,121.366795,"富强街28-17号","购物;便利店"
"迪亚天天(航北店)",31.177001,121.356651,"航北路585号","购物;便利店"
"大王炒货批发部",31.162703,121.368332,"宝盛路与富强路交叉口西北200米","购物;便利店"
"惠惠杂货店(明泉花园东北)",31.164589,121.361541,"新镇路1481号附近","购物;便利店"
"快客便利店",31.171666,121.357379,"上海市闵行区","购物;便利店"
"芯芯综合商店",31.17534,121.355084,"航新路华氏大药房旁","购物;便利店"
"联欢综合商店",31.167743,121.352593,"吴中路2739号","购物;便利店"
"蒋伟便利店",31.178198,121.374757,"老虹井路与白樟路交叉口南","购物;便利店"
"吉利便利店",31.158729,121.362035,"横沥路与南西街交叉口北","购物;便利店"
"正阳烟杂店",31.16046,121.353643,"沪松公路56号","购物;便利店"
"品鲜居便利店",31.162401,121.370843,"星富街5幢4号","购物;便利店"
"华景百货店",31.180338,121.365603,"七宝镇航北路31号","购物;便利店"
"兆平百货批发部",31.163598,121.362233,"漕宝路3223号附近","购物;便利店"
"航古店",31.176521,121.360062,"航中路284","购物;便利店"
"萍萍杂货店",31.164025,121.361856,"漕宝路3223号附近","购物;便利店"
"七宝东海烟糖杂货门市部",31.161731,121.36377,"青年路50临","购物;便利店"
"七宝中心烟糖商店",31.157863,121.361493,"上海市闵行区七宝镇南大街21临","购物;便利店"
"光明便利(航新路)",31.176838,121.354149,"航新路372号(航北路航新路)","购物;便利店"
"昌建烟酒店",31.15885,121.35159,"沪松公路191","购物;便利店"
"科迪农家超市",31.156564,121.361079,"七宝镇七宝南街93号","购物;便利店"
"屋里厢",31.158057,121.361123,"七宝古镇南大街4号","购物;便利店"
"李云杂货店",31.163606,121.362628,"漕宝路3223号附近","购物;便利店"
"先进百货部",31.163872,121.362539,"漕宝路3223号附近","购物;便利店"
"中宝便利店",31.168247,121.354221,"吴宝路与吴中路交叉口旁","购物;便利店"
"七宝小太阳商店",31.162835,121.35117,"七莘路3333号万科城市花园6区","购物;便利店"
"便利店茶",31.159229,121.35877,"民主路与青年路交叉口南50米","购物;便利店"
"七宝镇伟高百货店",31.159013,121.364355,"上海市闵行区富强东街15号","购物;便利店"
