"name","lat","lng","address","detail_info"
"好比家副食品商店","30.980667","120.982993","嘉善县其他邮电路59号","购物;便利店"
"金叶便利店","31.058253","120.961021","田山庄村116号","购物;便利店"
"西岑迎新杂货店","31.073841","120.973321","西岑支线附近","购物;便利店"
"金叶便利(NO.012)","31.071987","120.974342","岑杨路91号","购物;便利店"
"红光烟杂店","31.089728","120.973259","三塘村塘联421号","购物;便利店"
"青浦西岑苏果便利百货店","31.073651","120.969289","练西路4393-4395号","购物;便利店"
"西岑全林杂货店","31.073481","120.970417","练西公路4348号","购物;便利店"
"麦香城食品","31.073473","120.971919","西岑支线附近","购物;便利店"
"西岑综合商店","31.073718","120.9728","西岑支线岑中路路口附近","购物;便利店"
"青浦西岑建珍百货店","31.074102","120.969013","练西公路4415号","购物;便利店"
"庆猛百货店","31.072017","120.974452","岑杨路184号附近","购物;便利店"
"佳美杂货店(岑杨路)","31.072031","120.97378","岑杨路184号附近","购物;便利店"
"青浦西岑美玲杂货店","31.074082","120.969484","练西公路上海神安起重运输机械制造有限公司附近","购物;便利店"
"富华烟杂综合经营部","31.073327","120.97085","练西公路4348号","购物;便利店"
"张引生杂货店","31.071569","120.972669","岑杨路176","购物"
"昆仑好客","31.206993","120.966447","苏州市昆山市","购物"
"皓年食品批发","31.236535","120.959029","江苏省苏州市昆山市凇沪中路","购物;便利店"
"易捷便利店(长江南路辅路)","31.280769","120.965343","长江南路与阳光东路交叉口东北150米","购物;便利店"
"可的便利店(花园店)","31.319557","120.963509","江南春堤花苑2-33幢单元02号","购物;便利店"
"盛鸿食品批发部","31.319683","120.963753","江苏省苏州市昆山市振新东路","购物;便利店"
"顺久批发部","31.334797","120.981145","青淞路15附近","购物;便利店"
"平平百货商店","31.324535","120.965179","周东路与周巷路交叉口西100米","购物;便利店"
"江丰平价百货","31.322276","120.962838","展艺路附近","购物;便利店"
"薄利百货大卖场","31.339524","120.968048","长江南路与新312国道交汇新城域附近","购物;便利店"
"捷强便利店(永记路)","31.321408","120.962378","江苏省苏州市昆山市永记路","购物;便利店"
"信诚综合商店","31.322623","120.96273","展艺路与永记路交叉口东50米","购物;便利店"
"荷色便利店","31.340155","120.967028","江苏省苏州市昆山市新南中路","购物;便利店"
"美丽超市","31.322947","120.965047","江苏省苏州市昆山市展艺路","购物"
"薄利百货超市","31.323092","120.96454","江苏省苏州市昆山市展艺路","购物"
"展艺超市","31.322226","120.963585","展艺路小顾水果店旁","购物"
"徽阜百货商行","31.318311","120.961906","张浦镇江南春堤22幢103","购物"
"全家便利店(伟业路店)","31.355315","120.978633","开发区伟业路74-76号","购物;便利店"
"润强便利店","31.363791","120.975103","嵩山路群叶公寓2-2号","购物;便利店"
"捷强便利店NO.598","31.366837","120.966292","苏州市昆山市","购物;便利店"
"喜之多便利店","31.363082","120.974933","衡山路266号","购物;便利店"
"快客便利店(no.11089)","31.354701","120.979055","伟业路好又来旁","购物;便利店"
"正鹏日用品店","31.35585","120.9604","枫景路118","购物;便利店"
"喜士多便利店(衡山路店)","31.363838","120.970816","衡山路博悦电脑城1楼","购物;便利店"
"上海捷强连锁NO.500","31.363949","120.972498","苏州市昆山市","购物;便利店"
"喜士多便利店(衡山路店)","31.363021","120.969816","玉山镇柏庐南路1003号博悦广场1层","购物;便利店"
"可的便利店(衡山路)","31.366006","120.967563","衡山路342","购物;便利店"
"十足便利店(嵩山路)","31.356256","120.971288","玉山镇嵩山路351号","购物;便利店"
"十足便利店(衡山路)","31.365529","120.968427","玉山镇衡山路298号(莫泰168边上)","购物;便利店"
"捷强便利店(开心公寓东)","31.354059","120.96021","枫景路高雅宾馆旁","购物;便利店"
"利得便利店","31.354872","120.978934","苏州市昆山市伟业路","购物;便利店"
"新沂老魏商店","31.352965","120.968195","玉山镇枫景苑a区15栋","购物;便利店"
"蓝天便利店(衡山路)","31.361407","120.976354","玉山镇中华园东村47栋","购物;便利店"
"卫玲便利店","31.362151","120.977139","衡山路老佛爷野鱼馆旁","购物;便利店"
