"name","lat","lng","address","detail_info"
"大潤发超市",31.023378,121.226026,"上海松江区荣乐中路552号-652号","购物;超市"
"联华超市(松江人民店)",31.020193,121.233502,"松江区乐都路348-8号","购物;超市"
"联华超市(南期昌路店)",31.030559,121.23206,"上海市松江区南期昌路482、484号","购物;超市"
"联华超市(乐都路店)",31.019332,121.216919,"上海市松江区乐都路669号","购物;超市"
"兴地超市",31.030509,121.23309,"南期昌路巴比馒头旁","购物;超市"
"上海农林学院超市",31.01652,121.227226,"中山二路658号农林职业技术学院","购物;超市"
"农工商超市(NO.3461店)",31.032258,121.232983,"上海市松江区","购物;超市"
"联华超市(江学路店)",31.034177,121.217856,"上海市松江区江学路321弄22~24号","购物;超市"
"茸建超市",31.031318,121.224702,"西林北路1035号","购物;超市"
"华联超市(林北店)",31.015789,121.229046,"上海市松江区中山二路613、615号","购物;超市"
"如海超市",31.017423,121.221092,"永丰路与仓丰路交叉口旁","购物;超市"
"爱哆哆",31.017015,121.221051,"永丰路237","购物;超市"
"华联超市(荣乐店)",31.023162,121.22936,"荣乐中路与西林北路交叉口东210米","购物;超市"
"华联超市",31.014864,121.215669,"上海市松江区玉树路2504弄","购物;超市"
"好又多超市",31.018424,121.214243,"上海市松江区玉树路2715弄10号","购物;超市"
"全家便利店(通跃路店)",31.037401,121.237217,"上海市松江区嘉松南路408号松江新城商业广场1层","购物;便利店"
"伍缘(南其昌路店)",31.03227,121.23302,"南期昌路四五八弄96号","购物;超市"
"联华超市(见面缘店)",31.015788,121.232511,"松江中山二路兰州牛肉拉面对面","购物;超市"
"阿圆便利",31.036412,121.237746,"通跃路桂林米粉旁","购物;超市"
"九峰超市",31.019933,121.236956,"乐都路九峰路口(九峰小区)","购物;超市"
"闽辉超市",31.014087,121.234853,"人民北路73-2号","购物;超市"
"罗森便利店(松江妇幼保健医院店)",31.030812,121.226968,"上海市松江区西林北路1010号松江妇幼保健院内(近思贤路)","购物;便利店"
"佳美超市",31.023156,121.234654,"荣乐中路九峰新村201号楼对面","购物;超市"
"如海超市(思贤路)",31.036793,121.237058,"嘉松南路288号松九商城2楼","购物"
"万嘉超市",31.03723,121.218009,"江学路381弄8号","购物;超市"
"联都超市(永丰店)",31.017798,121.221434,"永丰路与仓丰路交叉口北140米","购物;超市"
"李家超市(人民北路店)",31.016565,121.234771,"人民北路62号","购物;超市"
"全家便利店(中山二路店)",31.016151,121.228727,"中山二路610号(近西林路)","购物;便利店"
"邻家超市",31.018237,121.215135,"上海市松江区","购物;超市"
"华联超市(NO.1721店)",31.036408,121.217754,"江学路与文诚路交叉口南200米","购物;超市"
"全家便利店(中山中路店)",31.01843,121.234415,"人民北路100号（近招商银行）","购物;便利店"
"强友超市",31.019456,121.216446,"玉树路(近玉树南苑)","购物;超市"
"雪阳超市",31.030571,121.229291,"南期昌路600号","购物;超市"
"曙光百货商店",31.029233,121.223017,"南期昌路889弄167号","购物;便利店"
"富鑫超市",31.022015,121.23363,"人民北路196号","购物"
"好德便利店(乐都店)",31.019753,121.227616,"乐都路404、406-1","购物;便利店"
"好德便利店(昌其店)",31.030508,121.234938,"南期昌路352-354号","购物;便利店"
"罗森便利店(松江中山二路)",31.015744,121.228775,"西林北路与松江中山二路交叉口旁","购物;便利店"
"罗森便利店(荣乐中路)",31.023181,121.238306,"荣乐中路与九峰路交叉口旁","购物;便利店"
"小春便民店",31.014485,121.228602,"西林北路1号111号","购物;便利店"
"可的便利店(松江乐都店)",31.019775,121.236244,"乐都路300号","购物;便利店"
"韩国食品超市",31.035668,121.237455,"通跃路55(地铁9号线2号出口)","购物"
"好德便利店(荣乐店)",31.022693,121.235824,"荣乐中路231","购物;便利店"
