"name","lat","lng","address","detail_info"
"总部基地-十区",39.826559,116.286578,"北京市丰台区南四环西路188号十区19号楼","购物;便利店"
"711便利店(丰台1店)",39.829193,116.291099,"北京市丰台区中关村科技园区丰台园产业基地二期(西区)","购物;便利店"
"快客便利店(总部基地七区店)",39.828782,116.287856,"南四环西路188号七区17","购物;便利店"
"都市快客便利店no.009",39.834368,116.290091,"丰台区科学城海鹰路9号金汤大厦一层","购物;便利店"
"易捷便利店(西四环南路辅路)",39.843429,116.292464,"西四环南路辅路","购物;便利店"
"全时便利店(总部基地十区店)",39.827145,116.287582,"南四环西路188号十区8号楼01号","购物;便利店"
"看杨公寓便利店",39.828568,116.276153,"北京市丰台区","购物;便利店"
"英华商店",39.849049,116.263903,"人民村东羊圈67号","购物;便利店"
"易家快捷店",39.841971,116.292071,"北京市丰台区富丰路2号星火科技大厦1层","购物;便利店"
"日月百货商店",39.850165,116.291958,"丰台区丰台大桥南街12号(云南过桥米线)","购物;便利店"
"君凉冷饮批发",39.857062,116.292745,"文体路58号附近","购物;便利店"
"日用百货平价商店",39.849992,116.291946,"丰台区丰台大桥南街12号(近羊汤饭店)","购物;便利店"
"宝锋商店",39.844347,116.290266,"富丰园8号楼","购物;便利店"
"聚客隆超市",39.842011,116.281288,"看丹南路北50米","购物;便利店"
"皓宇商店",39.852888,116.274967,"花乡段庄68号(富丰桥西)","购物;便利店"
"便利店(看丹路)",39.845303,116.276971,"看丹路400号402号(中共花乡看丹村总支部委员会东北)","购物;便利店"
"顺天府超市(航天建筑设计院底商)",39.848443,116.291508,"西四环南路93号院","购物"
"果士多(幸福街店)",39.857718,116.289453,"西幸福街1号楼底商(奥尔黛丝、正阳桥北公交车站)","美食;小吃快餐店"
"中电润泽连锁超市",39.829062,116.287936,"南四环西路188号七区18","购物"
"穆赞斋丰寺牛羊肉店",39.856145,116.292381,"丰台区丰台镇电报局街5号(丰台清真寺)","购物"
"真佳诚便利店",39.891277,116.281807,"西四环中路100号302医院附近","购物;便利店"
"迪亚天天（望园店）",39.874225,116.291123,"望园西里20号楼底商","购物;便利店"
"北京文昌阁文艺印章商店",39.865176,116.2912,"北大街14号","购物;便利店"
"青苗儿童商店",39.861057,116.29234,"文体路9号附近","购物;便利店"
"日用百货(北油小区西)",39.867673,116.265104,"卢沟桥路附近","购物;便利店"
"东方烟酒食品超市",39.890099,116.277509,"岳各庄北路附近","购物;便利店"
"易捷便利店(祥龙物流商务楼西南)",39.874314,116.28786,"卢沟桥路(北京市丰台区渣土管理站东)","购物;便利店"
"昆仑好客(西四环中路辅路)",39.887802,116.28114,"岳各庄村社区卫生服务站附近","购物;便利店"
"丰昌伟云商店",39.866376,116.271464,"程庄路西50米","购物;便利店"
"福家乐平价超市",39.884063,116.281821,"西蜀小四川附近","购物;便利店"
"顺鑫食品店",39.878177,116.282128,"卢沟桥路19号附近","购物;便利店"
"靖轩商店",39.891165,116.280224,"天安街甲8附近","购物;便利店"
