"name","lat","lng","address","detail_info"
"易捷便利店(运兴安店)","39.717195","116.045652","大石河财贸技术学校东侧","购物;便利店"
"水墨便利店","39.693969","116.072539","大窦路","购物;便利店"
"易捷便利店(吴庄村东街)","39.729565","116.077389","小董村桥和阎东路的交叉口附近","购物;便利店"
"易捷便利店(昊腾家园西)","39.711491","116.062838","大窦路(昊腾家园西)","购物;便利店"
"易捷便利店(大件路)","39.727735","116.060784","焦庄路口东南150米","购物;便利店"
"农家福便利店","39.695065","116.0706","北京市房山区","购物;便利店"
"忠辰百货商店","39.728768","116.050071","阎村镇焦庄村消防场路口","购物;便利店"
"昆仑好客","39.727199","116.081079","阎东路附近","购物;便利店"
"富天顺商贸中心(NO.5)","39.718805","116.072719","燕化星城","购物"
"易购鲜超市","39.740546","116.069078","原新东路","购物;便利店"
"永安商店","39.775906","116.091412","窦各庄下一区75","购物;便利店"
"百惠超市(建原路)","39.744008","116.062282","阎河路和兴坊路的交叉口附近","购物;便利店"
"坡上来日用百货商店","39.740374","116.07398","原新东路东100米","购物;便利店"
"昆仑好客(V7北湖壹号东北)","39.815528","116.091565","崇各庄","购物;便利店"
"南四位便利超市","39.817376","116.079668","青龙湖镇南四位村红绿灯","购物;便利店"
"焦各庄便利超市","39.803907","116.072594","崇吕路西50米","购物;便利店"
"晓幼营华冠益佳","39.832573","116.077182","北京市房山区","购物"
"阿美便利店","39.936479","116.094026","中门寺街67号","购物;便利店"
"建华商店","39.942504","116.087537","东辛房东街","购物;便利店"
"鑫维康西龙奇便利店","39.937649","116.075627","西辛房大街48号","购物;便利店"
"原矿口超市","39.942313","116.082217","北京市门头沟区","购物"
"门头沟区慈善超市","39.935683","116.068462","北京市门头沟区","购物"
"中油首汽十五号加油站便利店","39.994764","116.047269","北京市门头沟区","购物;便利店"
"昆仑好客(担礼)","39.994842","116.04722","109国道","购物;便利店"
"德兴商店","40.169289","116.079191","北葛路附近","购物;便利店"
"永鑫超市","40.17652","116.07472","流村镇北流村","购物"
"诚熙惠民超市(流村店)","40.17729","116.073915","北京市昌平区","购物"
"明磊便民超市","40.176345","116.074116","北京市昌平区","购物"
"福民商店","40.207671","116.046304","李流路附近","购物;便利店"
"长城商店","40.294368","116.077195","北京市昌平区南口镇居庸关村二一六省道居庸关长城内","购物;便利店"
"居庸关长城-小卖部","40.2941","116.074411","北京市昌平区南口镇居庸关村二一六省道居庸关长城内","购物;便利店"
"长城商店","40.295231","116.081457","北京市昌平区南口镇居庸关村二一六省道居庸关长城内","购物;便利店"
"居庸关长城-小卖部","40.293908","116.082262","北京市昌平区南口镇居庸关村二一六省道居庸关长城内","购物;便利店"
"居庸关长城-小卖部","40.302257","116.082819","北京市昌平区南口镇居庸关村二一六省道居庸关长城内","购物;便利店"
"居庸关长城-小卖部","40.295187","116.081337","北京市昌平区南口镇居庸关村二一六省道居庸关长城内","购物;便利店"
"居庸关长城-小卖部","40.299775","116.078283","北京市昌平区南口镇居庸关村二一六省道居庸关长城内","购物;便利店"
"居庸关长城-小卖部","40.295435","116.079416","北京市昌平区南口镇居庸关村二一六省道居庸关长城内","购物;便利店"
"长城商店","40.295745","116.080277","北京市昌平区南口镇居庸关村二一六省道居庸关长城内","购物;便利店"
"瀛厚德","40.298575","116.079424","北京市昌平区","美食;中餐厅"
"刘永臣综合商店","40.413622","116.085204","延庆区西莲路","购物;便利店"
"易捷便利店(东红山路)","40.43197","116.062859","京银路附近","购物;便利店"
"易捷便利店(良园二路)","39.718792","116.137248","凯旋大街58号附近","购物;便利店"
"易捷便利店(西六环)","39.727048","116.100965","006县道附近","购物;便利店"
"首发便利店","39.728453","116.122782","长虹西路37附近","购物;便利店"
"金彦双仁超市","39.734781","116.141776","西潞南大街34号楼底商","购物;便利店"
"昆仑好客","39.727092","116.107381","京周路附近","购物;便利店"
"望校平价超市","39.732586","116.133962","苏庄中路","购物;便利店"
