"name","lat","lng","address","detail_info"
"美廉美超市(良乡店)",39.742337,116.142257,"北京市房山区良乡西路北大街28号(原小白羊超市旧址)","购物;超市"
"物美超市(北京市房山区良乡第二)",39.742337,116.142257,"北京市房山区良乡西路北大街28号（原小白羊超市旧址）","购物;超市"
"华冠生活超市(苏庄店)",39.732522,116.129868,"良乡地区苏庄一里19号楼","购物;超市"
"华冠超市(太平庄店)",39.738424,116.126535,"西潞街道太平庄东里20号楼","购物;超市"
"世纪华联超市",39.729552,116.129837,"良乡苏庄地铁站共创大厦底商","购物;超市"
"乐家乐购超市(佳世苑店)",39.727341,116.129892,"翠柳大街佳世苑（北区）底商","购物;超市"
"点点超市(苏庄店)",39.732522,116.126856,"良乡镇苏庄建鑫园大街苏庄一里22号楼底商3号","购物;超市"
"点点超市(太平庄店)",39.738445,116.12694,"良乡太平庄村42号楼一层","购物;超市"
"点点超市(西潞北大街)",39.738658,116.142226,"西潞北大街亚中广告西侧","购物;超市"
"华冠领鲜超市",39.736762,116.133755,"良乡西路26号院2号楼","购物;超市"
"临风超市",39.733876,116.13452,"良乡苏庄东街8号对面的","购物;超市"
"京顺来超市",39.733265,116.130611,"苏庄二里7号楼底商","购物;超市"
"好家帮超市(西潞园店)",39.737756,116.139314,"良乡西路西潞园商业街内","购物;超市"
"鸿运来超市",39.732451,116.144844,"长虹北里10-9号","购物;超市"
"宝玉超市",39.73244,116.145372,"房山区长虹北里12-1号","购物;超市"
"信廉乐购超市",39.743012,116.130453,"北潞馨家园(东南门)附近","购物;超市"
"家家乐超市(北京市房山区卫生局西北)",39.739166,116.129417,"太平庄东里2","购物;超市"
"新发地社区便民菜店",39.734893,116.14108,"西潞南大街甲6附近","购物;超市"
"鸿福隆超市",39.722186,116.142467,"良白路东50米","购物;超市"
"来广源超市",39.741203,116.139077,"北京市房山区","购物;超市"
"宝升茂批发超市",39.735296,116.14272,"良乡昊宏小区底商","购物;超市"
"欣欣超市(北京市房山区卫生局西北)",39.739189,116.130092,"良乡镇太平庄村东里2号楼","购物;超市"
"鑫仙天超市",39.737481,116.13202,"西潞","购物;超市"
"正泰超市",39.723568,116.127961,"北京汉美奥科冷暖空调设备有限公司附近","购物;超市"
"酒翔云外商贸中心",39.738765,116.135487,"良乡西潞园小区西门","购物;超市"
"凤霞超市",39.721471,116.141865,"北京市房山区","购物;超市"
"龙晟源通超市",39.734964,116.126972,"北京市房山区苏庄北路","购物;超市"
"惠尔鑫超市",39.739928,116.139496,"北京市房山区良乡西潞园文化中心","购物;超市"
"圣缘超市",39.726964,116.135757,"北京市房山区金光路7","购物;超市"
"康华超市",39.73813,116.127372,"京周路附近","购物;超市"
"凤鸣虹舞便利超市",39.732475,116.146317,"南关西路长虹干洗店对面","购物;超市"
"诚信祥超市",39.735579,116.123952,"苏庄西区2号楼底商","购物;超市"
"皓源丰超市",39.741235,116.13842,"北京市房山区s317","购物;超市"
"双乐超市",39.729364,116.127051,"长虹西路47号","购物;超市"
"小敏百货",39.736117,116.125127,"苏庄北路2号","购物;超市"
"汇百顺超市",39.735177,116.138659,"海逸半岛(北门)附近","购物;超市"
"金康健老年生活用品平价超市",39.728889,116.127726,"北京市房山区","购物;超市"
"小雨商店(凯旋大街)",39.726301,116.143158,"凯旋大街10号(飞翔汽车修理厂西)","购物;集市"
"易捷便利店(良园二路)",39.718792,116.137248,"凯旋大街58号附近","购物;便利店"
"易捷便利店(良乡西路)",39.736758,116.129554,"良乡西路附近","购物;便利店"
"金彦双仁超市",39.734781,116.141776,"西潞南大街34号楼底商","购物;便利店"
"北京良乡万事兴百货商店",39.740843,116.139943,"北京市房山区天虹艺术培训学校附近","购物;便利店"
"嘿客",39.739394,116.143186,"西潞园小区底商","购物"
"首发便利店",39.728453,116.122782,"长虹西路37附近","购物;便利店"
"良乡红华批发",39.73977,116.125265,"疯狂烤翅附近","购物;便利店"
